"matrix","time","row","col","value","sd","conf.low","conf.high","dates","report_prob_new"
"serop",1970-02-21,0,0,0.0570744796974768,0.00085129389496114,0.0554059743230941,0.0587429850718595,2022-02-03,0.6378
"beta",1970-02-22,0,0,0.611743236973511,0.0112244814058086,0.589743657672987,0.633742816274036,2022-02-04,0.6378
"report_prob",1970-02-22,0,0,0.6378,0,0.5,0.5,2022-02-04,0.6378
"inc",1970-02-22,0,0,0.140505032257184,0.00233832429608754,0.135922000852678,0.145088063661691,2022-02-04,0.6378
"serop",1970-02-22,0,0,0.0584580231181404,0.00084255845406387,0.0568066388933054,0.0601094073429753,2022-02-04,0.6378
"beta",1970-02-23,0,0,0.623805921618006,0.0120177562251164,0.600251552241795,0.647360290994216,2022-02-05,0.6378
"report_prob",1970-02-23,0,0,0.6378,0,0.5,0.5,2022-02-05,0.6378
"inc",1970-02-23,0,0,0.146132429593954,0.00247062038351828,0.141290102622788,0.150974756565121,2022-02-05,0.6378
"serop",1970-02-23,0,0,0.0599728255064911,0.00083385303355038,0.0583385035923329,0.0616071474206493,2022-02-05,0.6378
"beta",1970-02-24,0,0,0.635234926040004,0.0127157556077759,0.61031250301255,0.660157349067458,2022-02-06,0.6378
"report_prob",1970-02-24,0,0,0.6378,0,0.5,0.5,2022-02-06,0.6378
"inc",1970-02-24,0,0,0.152033806612331,0.00264076809159146,0.14685799626129,0.157209616963373,2022-02-06,0.6378
"serop",1970-02-24,0,0,0.0616199667738813,0.00082784232675737,0.059997425628559,0.0632425079192035,2022-02-06,0.6378
"beta",1970-02-25,0,0,0.645463753886528,0.0132246058020904,0.619544002804691,0.671383504968364,2022-02-07,0.6378
"report_prob",1970-02-25,0,0,0.6378,0,0.5,0.5,2022-02-07,0.6378
"inc",1970-02-25,0,0,0.158106609960728,0.00282976576932132,0.152560370968173,0.163652848953282,2022-02-07,0.6378
"serop",1970-02-25,0,0,0.0633957379697911,0.00082721784124062,0.0617744207935906,0.0650170551459917,2022-02-07,0.6378
"beta",1970-02-26,0,0,0.653956234278877,0.0134748484509191,0.62754601661794,0.680366451939813,2022-02-08,0.6378
"report_prob",1970-02-26,0,0,0.6378,0,0.5,0.5,2022-02-08,0.6378
"inc",1970-02-26,0,0,0.164231361446534,0.00301514898682481,0.158321778024335,0.170140944868734,2022-02-08,0.6378
"serop",1970-02-26,0,0,0.0652913011569213,0.00083407512062877,0.063656543960088,0.0669260583537546,2022-02-08,0.6378
"beta",1970-02-27,0,0,0.660238647515903,0.0134275514450153,0.633921130283115,0.686556164748692,2022-02-09,0.6378
"report_prob",1970-02-27,0,0,0.6378,0,0.5,0.5,2022-02-09,0.6378
"inc",1970-02-27,0,0,0.170275173329621,0.00317422569708747,0.164053805284528,0.176496541374714,2022-02-09,0.6378
"serop",1970-02-27,0,0,0.067292535094869,0.00084924234155039,0.0656280506912838,0.0689570194984543,2022-02-09,0.6378
"beta",1970-02-28,0,0,0.663931999315795,0.0130809855736238,0.638293738709204,0.689570259922386,2022-02-10,0.6378
"report_prob",1970-02-28,0,0,0.6378,0,0.5,0.5,2022-02-10,0.6378
"inc",1970-02-28,0,0,0.176097287849422,0.00328695175443252,0.169654980791814,0.182539594907031,2022-02-10,0.6378
"serop",1970-02-28,0,0,0.0693801401746595,0.0008718322184697,0.0676713804258972,0.0710888999234218,2022-02-10,0.6378
"beta",1970-03-01,0,0,0.664780838677754,0.0124775994923734,0.640325193059187,0.689236484296321,2022-02-11,0.6378
"report_prob",1970-03-01,0,0,0.6378,0,0.5,0.5,2022-02-11,0.6378
"inc",1970-03-01,0,0,0.181556617781683,0.00333883921962906,0.17501261316104,0.188100622402325,2022-02-11,0.6378
"serop",1970-03-01,0,0,0.0715300698778184,0.00089924613029162,0.0697675798492098,0.073292559906427,2022-02-11,0.6378
"beta",1970-03-02,0,0,0.662675052015729,0.0117101576917193,0.639723564686675,0.685626539344784,2022-02-12,0.6378
"report_prob",1970-03-02,0,0,0.6378,0,0.5,0.5,2022-02-12,0.6378
"inc",1970-03-02,0,0,0.186520955676299,0.0033242465733671,0.180005552116768,0.193036359235829,2022-02-12,0.6378
"serop",1970-03-02,0,0,0.0737143369188626,0.00092765153810888,0.071896173313966,0.0755325005237592,2022-02-12,0.6378
"beta",1970-03-03,0,0,0.657661744033867,0.010923397687579,0.636252277977404,0.67907121009033,2022-02-13,0.6378
"report_prob",1970-03-03,0,0,0.6378,0,0.5,0.5,2022-02-13,0.6378
"inc",1970-03-03,0,0,0.190877188535559,0.00325013606898576,0.184507038895492,0.197247338175625,2022-02-13,0.6378
"serop",1970-03-03,0,0,0.0759022099313326,0.00095275833325642,0.0740348379121796,0.0777695819504856,2022-02-13,0.6378
"beta",1970-03-04,0,0,0.649945566094312,0.010300832518565,0.629756305347145,0.670134826841478,2022-02-14,0.6378
"report_prob",1970-03-04,0,0,0.6378,0,0.5,0.5,2022-02-14,0.6378
